zpid,addressStreet,unit,addressCity,addressState,addressZipcode,homeType,beds,baths,area,pgapt,price,homeStatus,priceForHDP,taxAssessedValue,zestimate,rentZestimate,daysOnZillow,isPreforeclosureAuction,brokerName,latitude,longitude,hasOpenHouse,openHouseStartDate,openHouseEndDate,builderName,is_newHome,StreetNumber,Street
2075848810,118 Monroe St APT 908,Apt 908,Rockville,MD,20850,CONDO,1.0,1.0,870.0,ForSale,189000,FOR_SALE,189000,,,,2,False,Coldwell Banker Premier,39.08216,-77.14902,,,,,,118.0,Monroe St
37107496,506 New Mark Esplanade,,Rockville,MD,20850,TOWNHOUSE,3.0,4.0,1610.0,ComingSoon,584900,FOR_SALE,584900,512000.0,600300.0,3499.0,4,False,"Long & Foster Real Estate, Inc.",39.0757,-77.15754,True,2023-09-24 13:00:00,2023-09-24 16:00:00,,,506.0,New Mark Esplanade
336979236,844 Thompson Cres #54,# 54,Rockville,MD,20852,TOWNHOUSE,3.0,4.0,2554.0,ComingSoon,879000,FOR_SALE,879000,800000.0,764300.0,2430.0,-1,False,"RE/MAX Realty Centre, Inc.",39.05925,-77.11833,True,2023-09-24 10:00:00,2023-09-24 13:00:00,,,844.0,Thompson Cres
37101800,211 Elizabeth Ave,,Rockville,MD,20850,SINGLE_FAMILY,4.0,4.0,2611.0,ForSale,925000,FOR_SALE,925000,218300.0,923200.0,4285.0,-1,False,Nations Realty,39.09554,-77.14953,,,,,True,211.0,Elizabeth Ave
37125546,111 Watkins Pond Blvd #3-201,# 3-201,Rockville,MD,20850,CONDO,2.0,2.0,1165.0,ForSale,445000,FOR_SALE,445000,270000.0,450800.0,2470.0,-1,False,Coldwell Banker Realty,39.11212,-77.16272,,,,,,111.0,Watkins Pond Blvd
37102993,1212 Parrish Dr,,Rockville,MD,20851,SINGLE_FAMILY,5.0,3.0,1965.0,ForSale,779000,FOR_SALE,779000,453300.0,758100.0,3405.0,-1,False,Realty Advantage,39.07329,-77.1246,,,,,,1212.0,Parrish Dr
58241381,804 Grand Champion Dr #10-203,# 10-203,Rockville,MD,20850,CONDO,2.0,2.0,1468.0,ForSale,524999,FOR_SALE,524999,365000.0,530800.0,2578.0,-1,False,RE/MAX Realty Services,39.11439,-77.17017,,,,,,804.0,Grand Champion Dr
37099846,515 Bickford Ave,,Rockville,MD,20850,SINGLE_FAMILY,6.0,5.0,4558.0,ForSale,1199999,FOR_SALE,1199999,388700.0,1142600.0,5352.0,-1,False,RLAH @properties,39.09292,-77.15617,,,,Walker Mill Llc.,True,515.0,Bickford Ave
37093582,9708 Sunset Dr,,Rockville,MD,20850,LOT,,,,ForSale,350000,FOR_SALE,350000,53000.0,,1920.0,-1,False,"RE/MAX Realty Centre, Inc.",39.07295,-77.20125,,,,,,9708.0,Sunset Dr
58241632,401 Ridgemont Ave,,Rockville,MD,20850,SINGLE_FAMILY,4.0,4.0,2530.0,ForSale,1029000,FOR_SALE,1029000,764300.0,1010900.0,3814.0,-1,False,Compass,39.11678,-77.17454,,,,,,401.0,Ridgemont Ave
37304489,4401 Ives St,,Rockville,MD,20853,SINGLE_FAMILY,3.0,2.0,980.0,ForSale,525000,FOR_SALE,525000,313500.0,519100.0,2600.0,-1,False,"Weichert, REALTORS",39.07434,-77.08823,True,2023-09-21 16:00:00,2023-09-21 18:00:00,,,4401.0,Ives St
37106053,2308 Veirs Mill Rd,,Rockville,MD,20851,SINGLE_FAMILY,4.0,2.0,1892.0,ForSale,649900,FOR_SALE,649900,377000.0,633000.0,3200.0,-1,False,Fairfax Realty Select,39.07423,-77.11223,,,,,,2308.0,Veirs Mill Rd
37304520,13405 Keating St,,Rockville,MD,20853,SINGLE_FAMILY,3.0,2.0,1312.0,ComingSoon,524900,FOR_SALE,524900,327300.0,460400.0,2999.0,-1,False,The Agency DC,39.0764,-77.0893,True,2023-09-23 11:00:00,2023-09-23 13:00:00,,,13405.0,Keating St
331605119,3414 Wood Aster Pl,,Rockville,MD,20852,TOWNHOUSE,3.0,4.0,2368.0,ForSale,1150000,FOR_SALE,1150000,995300.0,1125900.0,3770.0,-1,False,Samson Properties,39.063473,-77.150085,True,2023-09-23 13:00:00,2023-09-23 15:00:00,,,3414.0,Wood Aster Pl
37289721,14700 Westbury Rd,,Rockville,MD,20853,SINGLE_FAMILY,4.0,3.0,2902.0,ForSale,799000,FOR_SALE,799000,543900.0,781900.0,3499.0,-1,False,"Long & Foster Real Estate, Inc.",39.09762,-77.09445,,,,,,14700.0,Westbury Rd
37333517,14640 Bauer Dr #14640,# 14640,Rockville,MD,20853,TOWNHOUSE,4.0,4.0,1364.0,ForSale,463500,FOR_SALE,463500,295000.0,458300.0,3072.0,-1,False,TTR Sotheby's International Realty,39.093746,-77.109245,,,,,,14640.0,Bauer Dr
37124693,209 Halpine Walk Ct,,Rockville,MD,20851,TOWNHOUSE,3.0,3.0,2562.0,ForSale,819000,FOR_SALE,819000,600300.0,802400.0,3528.0,-1,False,HomeSmart,39.06404,-77.11935,,,,,,209.0,Halpine Walk Ct
